RT 002 RW 01,30
RT 002 RW 01,165
RT 003 RW 01,10
RT 004 RW 01,15
RT 005 RW 02,17
RT 006 RW 02,10
RT 007 RW 02,4
RT 008 RW 03,88
RT 008 RW 03,77
RT 008 RW 03,140
RT 009 RW 03,7
RT 010 RW 03,86
RT 011 RW 03,8
RT 012 RW 04,11
RT 013 RW 04,10
KEBUN PT PAS,0
KEBUN PT KEDOTAN DAN PTPN VI,0
HUTAN,0
RT 001 DUSUN 001,8
RT 002 DUSUN 001,6
RT 003 DUSUN 001,8
RT 004 DUSUN 002,12
RT 005 DUSUN 002,5
RT 006 DUSUN 003,8
RT 007 DUSUN 003,10
HUTAN,0
RT 001 DUSUN II,1
RT 002 DUSUN II,6
RT 003 DUSUN I,3
RT 004 DUSUN III,5
RT 005 DUSUN I,5
RT 006 DUSUN II,6
RT 007 DUSUN I,6
RT 008 DUSUN III,5
RT 009 DUSUN III,4
KEBUN MASYARAKAT,0
RT 1 DUSUN I,7
RT 2 DUSUN I,12
RT 3 DUSUN II,11
RT 4 DUSUN II,2
RT 5 DUSUN III,6
RT 6 DUSUN III,4
RT 01 RW 01,43
RT 02 RW 01,30
RT 06 RW 01,6
RT 03 RW 02,22
RT 05 RW 02,16
RT 08 RW 02,18
RT 04 RW 03,29
RT 07 RW 03,22
RT 09 RW 03,155
PERKEBUNAN PT. KEDATON,0
KEBUN MASYARAKAT,0
KEBUN MASYARAKAT,0
RT 1 DUSUN 1,5
RT 2 DUSUN 1,7
RT 3 DUSUN 1,4
RT 4 DUSUN 2,4
RT 5 DUSUN 2,7
RT 6 DUSUN 2,8
RT 7 DUSUN 3,3
RT 8 DUSUN 3,7
RT 9 DUSUN 3,2
RT 10 DUSUN 4,2
RT 11 DUSUN 4,2
RT 12 DUSUN 4,3
PERKEBUNAN MASYARAKAT,0
PERKEBUNAN MASYARAKAT,0
RT 001 DUSUN ILIR,6
RT 002 DUSUN ILIR,28
RT 003 DUSUN ULU,7
RT 004 DUSUN ULU,22
RT 005 DUSUN DARAT,16
RT 006 DUSUN DARAT,11
RT 007 DUSUN SEBERANG,25
RT 008 DUSUN SEBERANG,7
PERKEBUNAN SAWIT,0
RT 001 DUSUN 001,4
RT 002 DUSUN 001,5
RT 003 DUSUN 001,7
RT 004 DUSUN 001,4
RT 005 DUSUN 002,3
RT 006 DUSUN 002,3
RT 007 DUSUN 002,5
RT 008 DUSUN 002,12
RT 009 DUSUN 003,6
RT 010 DUSUN 003,9
RT 011 DUSUN 003,9
RT 012 DUSUN 003,11
KEBUN KARET DAN SAWIT 1,0
KEBUN KARET DAN SAWIT 2,0
KEBUN KARET DAN SAWIT 3,0
RT 7 DUSUN 1,23
RT 1 DUSUN 1,15
RT 2 DUSUN 1,26
RT 3 DUSUN 2,10
RT 4 DUSUN 2,9
RT 5 DUSUN 3,16
RT 6 DUSUN 3,11
RT 001 DUSUN 1 AUR,10
RT 004 DUSUN 1 AUR,4
RT 006 DUSUN 1 AUR,5
RT 002 DUSUN 2 BUNGIN PANJANG,7
RT 003 DUSUN 2 BUNGIN PANJANG,20
RT 008 DUSUN 2 BUNGIN PANJANG,10
RT 005 DUSUN 3 KAMPUNG BARU,4
RT 007 DUSUN 3 KAMPUNG BARU,33
PERKEBUNAN PT. DHAMAS RAYA,0
PERKEBUNAN SAWIT PT. B3,0
PERKEBUNAN KARET MASYARAKAT,0
PERKEBUNAN KARET (AREA BB),0
RT 1 DUSUN SIDO DADI,8
RT 2 DUSUN SIDO DADI,8
RT 3 DUSUN SIDO DADI,8
RT 4 DUSUN SIDO DADI,10
RT 5 DUSUN SIDO DADI,1
RT 6 DUSUN SIDO DADI,43
RT 7 DUSUN SIDO RUKUN,6
RT 8 DUSUN SIDO RUKUN,5
RT 9 DUSUN SIDO RUKUN,4
RT 11 DUSUN SIDO RUKUN,3
RT 10 DUSUN SIDO RUKUN,5
RT 12 DUSUN SIDO RUKUN,4
RT 13 DUSUN SIDO RUKUN,5
RT 14 DUSUN SIDO MUKTI,8
RT 15 DUSUN SIDO MUKTI,9
RT 16 DUSUN SIDO MUKTI,3
RT 17 DUSUN SIDO MUKTI,5
RT 18 DUSUN SIDO MUKTI,4
RT 19 DUSUN SIDO MULYO,8
RT 20 DUSUN SIDO MULYO,4
RT 23 DUSUN SIDO MULYO,6
RT 21 DUSUN SIDO MULYO,11
RT 22 DUSUN SIDO MULYO,10
RT 24 DUSUN SIDO MULYO,17
RT 25 DUSUN BIRING KUNING,0
RT 26 DUSUN BIRING KUNING,4
RT 27 DUSUN BIRING KUNING,2
KEBUN KARET DAN SAWIT,0
KEBUN SAWIT PTP VI,0
KEBUN SAWIT,0
RT 001 DUSUN PANDAN KUNING,7
RT 002 DUSUN PANDAN KUNING,4
RT 003 DUSUN PANDAN KUNING,3
RT 004 DUSUN PANDAN KUNING,7
RT 005 DUSUN PANDAN KUNING,7
RT 006 DUSUN PANDAN KUNING,29
RT 007 DUSUN PANDAN ARUM,19
RT 008 DUSUN PANDAN ARUM,8
RT 009 DUSUN PANDAN ARUM,5
RT 010 DUSUN PANDAN ARUM,2
RT 011 DUSUN PANDAN ARUM,3
RT 012 DUSUN PANDAN SARI,19
RT 013 DUSUN PANDAN SARI,8
RT 014 DUSUN PANDAN SARI,0
RT 015 DUSUN PANDAN SARI,3
RT 016 DUSUN PANDAN SARI,7
RT 021 DUSUN PANDAN SARI,5
RT 017 DUSUN PANDAN WANGI,3
RT 018 DUSUN PANDAN WANGI,13
RT 019 DUSUN PANDAN WANGI,26
RT 020 DUSUN PANDAN WANGI,82
RT 022 DUSUN BIRING KUNING,16
RT 023 DUSUN BIRING KUNING,2
RT 024 DUSUN BIRING KUNING,6
RT 025 DUSUN BIRING KUNING,1
KEBUN MASYARAKAT,0
KEBUN SAWIT PERUSAHAAN PTPN.6,0
KEBUN SAWIT PERUSAHAAN PTPN.6,0
KEBUN SAWIT PERUSAHAAN PTPN.6,0
KEBUN MASYARAKAT,0
RT 001 DUSUN I SUMBER ARUS,6
RT 002 DUSUN I SUMBER ARUS,3
RT 003 DUSUN I SUMBER ARUS,5
RT 004 DUSUN I SUMBER ARUS,1
RT 005 DUSUN II MAYA SARI,9
RT 006 DUSUN II MAYA SARI,6
RT 007 DUSUN II MAYA SARI,9
RT 008 DUSUN II MAYA SARI,5
RT 009 DUSUN II MAYA SARI,5
RT 010 DUSUN II MAYA SARI,5
RT 011 DUSUN III SUMBER MAKMUR,5
RT 012 DUSUN III SUMBER MAKMUR,1
RT 013 DUSUN III SUMBER MAKMUR,2
RT 014 DUSUN III SUMBER MAKMUR,2
RT 015 DUSUN III SUMBER MAKMUR,3
RT 016 DUSUN IV KARYA MAJU,4
RT 017 DUSUN IV KARYA MAJU,11
RT 018 DUSUN IV KARYA MAJU,15
RT 019 DUSUN IV KARYA MAJU,5
RT 020 DUSUN IV KARYA MAJU,7
KEBUN,8
KEBUN,3
RT 001 DUSUN 001,14
RT 002 DUSUN 001,15
RT 003 DUSUN 002,15
RT 004 DUSUN 002,21
RT 005 DUSUN 003,30
RT 006 DUSUN 003,25
KEBUN KARET DAN SAWIT,0
RT 001 DUSUN 001,48
RT 002 DUSUN 001,10
RT 003 DUSUN 002,10
RT 004 DUSUN 002,26
HUTAN,0
RT 001 DUSUN SIMPANG JEBAK,30
RT 002 DUSUN SIMPANG JEBAK,25
RT 003 DUSUN SIMPANG JEBAK,13
RT 004 DUSUN SIMPANG JEBAK,6
RT 005 DUSUN BUKIT TEMBESU,6
RT 006 DUSUN BUKIT TEMBESU,5
RT 007 DUSUN SENAMI,8
RT 008 DUSUN SENAMI,9
RT 009 DUSUN SENAMI,7
RT 010 DUSUN SENAMI,3
RT 011 DUSUN SENAMI,6
KEBUN KARET,0
RT 001 DUSUN AMPELU TUO ULU,2
RT 002 DUSUN AMPELU TUO ULU,1
RT 003 DUSUN AMPELU TUO ILIR,3
RT 004 DUSUN AMPELU TUO ILIR,5
RT 005 DUSUN AMPELU TUO ILIR,2
RT 006 DUSUN AMPELU TUO ILIR,2
RT 007 DUSUN AMPELU BARU,2
RT 008 DUSUN AMPELU BARU,12
KEBUN KARET,0
KEBUN SAWIT,0
KEBUN KARET,0
TAMBANG BATU BARA,3
RT 001 DUSUN SIDORJO,20
RT 002 DUSUN SIDORJO,15
RT 003 DUSUN SIDORJO,4
RT 004 DUSUN MARWO SARI,10
RT 005 DUSUN MARWO SARI,10
RT 006 DUSUN PEMATANG GAMBIR,12
RT 007 DUSUN PEMATANG GAMBIR,15
RT 008 DUSUN DANAU RAMAN,6
RT 009 DUSUN DANAU RAMAN,7
PERKEBUNAN KARET,0
PERKEBUNAN KARET,0
PERKEBUNAN KARET DAN SAWAH,0
RT 001 RW 001,118
RT 002 RW 001,62
RT 003 RW 001,19
RT 004 RW 001,7
RT 005 RW 001,20
RT 006 RW 001,17
RT 007 RW 001,39
RT 008 RW 001,22
RT 009 RW 001,15
RT 010 RW 001,30
RT 010 RW 001,27
RT 011 RW 001,53
RT 012 RW 001,7
RT 001 RW 002,57
