idsbr,lat_new,long_new,status_label,petugas
95603458,-1.7328422,103.2754489,ORIGINAL,-
95603440,-1.5338381016495,103.12806667683,ORIGINAL,-
95603445,-1.6042415480498,103.2279488,ORIGINAL,-
95603439,-1.64622012847,103.277210253,ORIGINAL,-
95602697,-1.741769708253,103.27681832883,ORIGINAL,-
95602704,-1.7359086,103.2775448,ORIGINAL,-
95602772,-1.7278172516224,103.2706879172,ORIGINAL,-
95602766,-1.718884636,103.14586975,ORIGINAL,-
95602770,-1.72926122778,103.272906896,ORIGINAL,-
95602756,-1.72088893,103.14140068,ORIGINAL,-
95603746,-1.7920808777591,103.33308132698,ORIGINAL,-
95603812,-1.7030236529187,103.26620059645,ORIGINAL,-
95603813,-1.70373369363,103.268416018,ORIGINAL,-
95603802,-1.700495936,103.26390477,ORIGINAL,-
95603805,-1.70395952199,103.26679307,ORIGINAL,-
95603797,-1.7033743693517,103.26593371279,ORIGINAL,-
95603916,-1.70819770597,103.265041916,ORIGINAL,-
95603765,-1.7169392,103.2479465,ORIGINAL,-
95603924,-1.7106020644687,103.2628362,ORIGINAL,-
95603984,-1.5658861665266,103.36456341349,ORIGINAL,-
95603991,-1.5613752034585,103.35830613482,ORIGINAL,-
95602370,-1.6991164073472,102.86921668836,ORIGINAL,-
95602375,-1.6290692497801,102.85725745767,ORIGINAL,-
95602417,-1.5405476236109,103.04213438008,ORIGINAL,-
95602349,-1.6802332323369,102.99758534418,ORIGINAL,-
95604107,-1.717808065619,103.24254001349,ORIGINAL,-
95604119,-2.087518170574,103.41634532698,ORIGINAL,-
95604188,-1.6168508130508,103.32649043955,ORIGINAL,-
95604194,-1.5992541212713,103.38136981349,ORIGINAL,-
95602434,-1.5707034477576,103.6228190782,ORIGINAL,-
95602446,-1.6359559952964,102.88715884233,ORIGINAL,-
95602499,-1.729805418934,103.13087382484,ORIGINAL,-
95602441,-1.6441837250125,102.96607502698,ORIGINAL,-
95602565,-1.728266139158,103.13631511349,ORIGINAL,-
95603551,-1.730032019694,103.2767030558,ORIGINAL,-
95603664,-1.718355,103.2470254,ORIGINAL,-
95603657,-1.7013888656,103.26959722,ORIGINAL,-
95603689,-1.713777408,103.26792335,ORIGINAL,-
95602620,-1.71890653384,103.3306581865,ORIGINAL,-
95602652,-1.721874513,103.136317,ORIGINAL,-
95602678,-1.7240112905911,103.14625269999,ORIGINAL,-
95602658,-1.7119898,103.135887,ORIGINAL,-
97765138,-1.6105598,102.9344462,ORIGINAL,-
97765140,-1.8732694,102.9497379,ORIGINAL,-
97765143,-1.6083404,103.2248777,ORIGINAL,-
97765145,-1.962095,103.2647783,ORIGINAL,-
97765146,-1.5862117,103.2025509,ORIGINAL,-
97765149,-1.7452386,103.0477458,ORIGINAL,-
97765150,-1.6203983,102.897765,ORIGINAL,-
97765151,-1.8873970472424,103.08267542884,ORIGINAL,-
97765152,-1.61095,103.3426205,ORIGINAL,-
97765154,-1.9019046,103.0074338,ORIGINAL,-
97765156,-1.7414675,102.8754626,ORIGINAL,-
97768608,-1.6756193,102.7845537,ORIGINAL,-
97768609,-2.04297,103.343643,ORIGINAL,-
97768610,-1.8386034,102.9930343,ORIGINAL,-
97768707,-1.968842,132.40926,ORIGINAL,-
97794757,-1.7108198676,103.26076065,ORIGINAL,-
97794823,-1.7092469,103.2581588,ORIGINAL,-
97797846,-1.7189355084,103.260327,ORIGINAL,-
97903743,-1.7236604,103.2442129,ORIGINAL,-
97943744,-1.7133566992,103.265489147,ORIGINAL,-
97985943,-1.7075036,103.1412808,ORIGINAL,-
98053686,-1.42223,103.155,ORIGINAL,-
98053687,-1.71334,103.265,ORIGINAL,-
98053688,-1.70786,103.261,ORIGINAL,-
98054399,-1.666682700192,103.32405566262,ORIGINAL,-
98063880,-1.7142458932384,103.2650386653,ORIGINAL,-
2515002,-1.701178007605,103.07363315582,ORIGINAL,-
2532144,-1.6385084910131,103.28232761585,ORIGINAL,-
2549006,-1.9126122592069,103.15906227198,ORIGINAL,-
2553139,-1.931839401995,103.15476227116,ORIGINAL,-
2593476,-1.6947876,103.2850807,ORIGINAL,-
2601104,-1.756339761492,103.07928100792,ORIGINAL,-
2617478,-1.7256024774494,103.15152765898,ORIGINAL,-
2655524,-1.7025430559723,103.06425821534,ORIGINAL,-
